Name	Supplier	Region	Country	Origin	Altitude	Varietal	Process	Harvest	Moisture	Density [g/l]	Weight [mg]	Roast Date	Profile	Level	Batch	In [g]	Out [g]	Loss	DTR	Color	Dose [g]	Grind [°Titus]	Notes	
Tweega	Rave	Africa	Tanzania	Mbeya, Southern Highlands	1200-1600	Bourbon, Typica	Fully Washed	2015	8.2%	723	174	26/05/2025	KL Washed	1.3	4	100.0	88.7	11.3%		110	16.5	30.0	Nice!	
Finca Altos De Erapuca	Rave	Central America	Honduras	Copán	1360	Catuai	Washed	2015	10.1%	715	180	26/05/2025	KL Washed	1.3	5	100.0	88.3	11.7%		108	16.5	30.0	Very nice!	
Kieni	Has Bean	Africa	Kenya	Nyeri	1800	SL28 AA	Washed	2015	11.6%	718	203	07/07/2024	KL Washed	1.0	6	117.5	102.3	12.9%		114	16.5	25.0	Very nice!	
San Pascual	Rave	South America	Colombia	Finca San Pascual, Santa Barbara Estate, Fredonia, Antioquia	1400-2000	Colombia, Typica, Castillo, Bourbon & Tabi	Natural	2015	8.5%	717	177	26/05/2025	KL Natural	1.7	7	100.0	87.9	12.1%		119	16.5	27.5	Nice, tiny bit darker.	
Fazenda Taquaral	88graines	South America	Brazil	Campo das Vertentes, Ibituruna	900-1200	Yellow Catuai	Natural Anaerobic	2023	10.4%	720	148	26/05/2025	KL Natural	2.7	8	100.0	86.2	13.8%		112	16.0	50.0	Fantastic!	
Fazenda Taquaral	88graines	South America	Brazil	Campo das Vertentes, Ibituruna	900-1200	Yellow Catuai	Natural Anaerobic	2023	10.4%	720	148	01/06/2025	KL Natural	2.8	1,2,3	300.0	258.5	13.8%						
Finca Buenos Aíres	88graines	Central America	Guatemala	La Democracia, Huehuetenango	1600	Castillo	Natural	2023	11.1%	747	184	01/06/2025	KL Natural	3.5	4	80.0	67.8	15.3%		102	16.0	30.0	Good, but a bit too dark	
La Fila / Familly Urena Rojas	88graines	Central America	Costa Rica	San Jose Province, Brunca region, Chirripo	1300-1800	Villalobos	Black Honey	2023	10.7%	758	166	01/06/2025	KL Natural	2.3	5	80.0	69.5	13.1%						
San Pascual	Rave	South America	Colombia	Finca San Pascual, Santa Barbara Estate, Fredonia, Antioquia	1400-2000	Colombia, Typica, Castillo, Bourbon & Tabi	Natural	2015	8.5%	717	177	01/06/2025	KL Natural	1.9	6	80.0	70.0	12.5%						
Finca Buenos Aíres	88graines	Central America	Guatemala	La Democracia, Huehuetenango	1600	Castillo	Natural	2023	11.1%	747	184	01/06/2025	KL Natural	2.7	7	80.0	68.3	14.6%		113	16.0	27.5	Very nice!	
Acatenango	Sweet Maria's	Central America	Guatemala	Acatenango	1600-1700	Gesha	Washed	2016	11.3%	687	168	01/06/2025	KL Washed	1.0	8	80.0	69.4	13.3%						
Nyeri Hill AA	Sweet Maria's	Africa	Kenya	Nyeri District, Karatina Division	1800-2200	SL-28, SL-34, Ruiri-11	Washed	2016	11.6%	717	202	01/06/2025	KL Washed	1.3	9	80.0	68.7	14.1%						
Finca Buenos Aíres	88graines	Central America	Guatemala	La Democracia, Huehuetenango	1600	Castillo	Natural	2023	11.1%	747	184	01/06/2025	KL Natural	2.0	10	80.0	68.9	13.9%		120	16.5	22.5	Okay, but a weird aftertaste. Too light.	
Nyeri Hill AA	Sweet Maria's	Africa	Kenya	Nyeri District, Karatina Division	1800-2200	SL-28, SL-34, Ruiri-11	Washed	2016	11.6%	717	202	04/06/2025	KL Washed	0.8	1	80.0	70.1	12.4%						Fan 1.02
Corazon de Jesus / El Salitre	88graines	Central America	Costa Rica	San Jose Province, Brunca region, Chirripo	1300-1700	Caturra	Natural	2024	11.1%	741	179	04/06/2025	KL Natural	1.8	2	80.0	69.7	12.9%						
Fazenda Cerrado Grande	88graines	South America	Brazil	Campo das Vertentes, Santo Antônio do Amparo	950-1150	Yellow Bourbon	Natural	2024	11.8%	725	171	04/06/2025	KL Natural	2.4	3	80.0	68.3	14.6%						
Finca El Cucurucho / Carlos Ulloa	88graines	Central America	Honduras	El Ocotillo, Santa Barbara	1850	Catuai	Honey	2024	10.3%	760	166	04/06/2025	KL Natural	2.0	4	80.0	69.6	13.0%						
Finca Agua Tibia / Castillo Family	88graines	Central America	Guatemala	Frijanes	1600-1700	H1	Natural	2024	11.8%	741	197	04/06/2025	KL Natural	2.2	5	80.0	68.5	14.4%						Fan 1.02
Hacienda Sonora / Alberto & Diego Guardia	88graines	Central America	Costa Rica	Central Valley	1300-1825	Obata	Natural	2024	11.3%	753	157	04/06/2025	KL Natural	1.8	6	80.0	69.1	13.6%						
